Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
"Alerta por Vientos huracanados en Salta, Salta","Una vientos huracanados de gran magnitud afectó a Salta, Salta. El incidente dejando varios heridos y daños materiales. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Vientos huracanados,-24.80493,-65.409064,27/08/2011
Confirman Precipitación de material volcánico de gran magnitud en Tandil,"Severa precipitación de material volcánico impactó en la localidad de Tandil, Buenos Aires. El incidente generando preocupación entre autoridades provinciales. Bomberos y personal de seguridad trabajan intensamente en la zona.",Precipitación de material volcánico,-37.272395,-59.144691,09/05/2000
"Polvo volcánico en suspensión deja múltiples daños en Plottier, Neuquén","Una polvo volcánico en suspensión de gran magnitud afectó a Plottier, Neuquén. El incidente provocando pánico entre los residentes locales. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Polvo volcánico en suspensión,-38.932912,-68.187128,30/11/2009
Tormenta eléctrica sorprende a habitantes de San Carlos de Bariloche,La región de San Carlos de Bariloche en Río Negro sufrió los efectos de una intensa tormenta eléctrica. El incidente dejando un rastro de destrucción importante. Bomberos y personal de seguridad trabajan intensamente en la zona.,Tormenta eléctrica,-41.142927,-71.293401,24/07/2003
Vendaval impacta en San Salvador de Jujuy,La región de San Salvador de Jujuy en Jujuy sufrió los efectos de una intensa vendaval. El incidente obligando a evacuar a residentes de la zona. Se ha establecido un centro de operaciones para coordinar las ayudas.,Vendaval,-24.214582,-65.321462,05/04/2008
Se reporta Quema descontrolada en zona de Salta,La región de Salta en Salta sufrió los efectos de una intensa quema descontrolada. El incidente resultando en el cierre temporal de escuelas y comercios. Autoridades nacionales se han puesto a disposición para brindar asistencia.,Quema descontrolada,-24.761409,-65.370274,30/01/2007
"Equipos de emergencia atienden Nevazón en Las Breñas, Chaco","Severa nevazón impactó en la localidad de Las Breñas, Chaco. El incidente destruyendo viviendas y dejando a familias evacuadas. Bomberos y personal de seguridad trabajan intensamente en la zona.",Nevazón,-27.133497,-61.048038,23/09/2023
"Confirman Fenómeno de viento rotativo de gran magnitud en Punta Alta, Buenos Aires",La región de Punta Alta en Buenos Aires sufrió los efectos de una intensa fenómeno de viento rotativo. El incidente generando serios daños ambientales en la región. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.,Fenómeno de viento rotativo,-38.882904,-62.10975,20/11/2020
Preocupación por Sismo de gran magnitud en Trenque Lauquen,La región de Trenque Lauquen en Buenos Aires sufrió los efectos de una intensa sismo de gran magnitud. El incidente provocando la activación de protocolos de emergencia. La población ha sido alertada para tomar precauciones adicionales.,Sismo de gran magnitud,-35.949236,-62.758404,20/02/2024
"Se reporta Fenómeno de viento rotativo en zona de Villa Mercedes, San Luis",La región de Villa Mercedes en San Luis sufrió los efectos de una intensa fenómeno de viento rotativo. El incidente causando daños en cultivos y producción agrícola. Se han habilitado refugios temporales para las familias afectadas.,Fenómeno de viento rotativo,-33.656347,-65.499394,25/12/2018
Junín en alerta por Sequía con pérdidas agrícolas,"Severa sequía con pérdidas agrícolas impactó en la localidad de Junín, Buenos Aires. El incidente generando caos en el transporte público y privado. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Sequía con pérdidas agrícolas,-34.620525,-60.954245,20/10/2004
"Tormenta de nieve genera crisis en San Ramón de la Nueva Orán, Salta","Una tormenta de nieve de gran magnitud afectó a San Ramón de la Nueva Orán, Salta. El incidente generando serios daños ambientales en la región. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Tormenta de nieve,-23.176559,-64.368472,14/11/2001
"Emergencia por Granizada destructiva en Junín, Buenos Aires","Una granizada destructiva de gran magnitud afectó a Junín, Buenos Aires. El incidente destruyendo viviendas y dejando a familias evacuadas. Se han habilitado refugios temporales para las familias afectadas.",Granizada destructiva,-34.558395,-60.971933,24/11/2021
"Serio incidente: Fenómeno de viento rotativo en Maipú, Mendoza",La región de Maipú en Mendoza sufrió los efectos de una intensa fenómeno de viento rotativo. El incidente interrumpiendo servicios básicos en toda la zona. Se ha declarado estado de emergencia en la región para facilitar la asistencia.,Fenómeno de viento rotativo,-32.965222,-68.762216,25/11/2016
Evacuaciones por Tormenta de viento en San Vicente,"Una tormenta de viento de gran magnitud afectó a San Vicente, Misiones. El incidente dejando a la población incomunicada por varias horas. Bomberos y personal de seguridad trabajan intensamente en la zona.",Tormenta de viento,-26.959966,-54.486348,21/10/2001
"Oberá en alerta por Evento sísmico, Misiones",La región de Oberá en Misiones sufrió los efectos de una intensa evento sísmico. El incidente dejando a varios sectores sin comunicación. La población ha sido alertada para tomar precauciones adicionales.,Evento sísmico,-27.460509,-55.097258,17/12/2008
"Evacuaciones por Precipitación de granizo en Concepción del Uruguay, Entre Ríos","Severa precipitación de granizo impactó en la localidad de Concepción del Uruguay, Entre Ríos. El incidente afectando el normal desarrollo de actividades en la zona. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Precipitación de granizo,-32.507722,-58.239807,27/08/2000
"Confirman Ráfagas destructivas de gran magnitud en Tilcara, Jujuy","Severa ráfagas destructivas impactó en la localidad de Tilcara, Jujuy. El incidente provocando la activación de protocolos de emergencia. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Ráfagas destructivas,-23.538496,-65.369344,28/08/2011
Alerta por Desprendimiento de ladera en Chimbas,La región de Chimbas en San Juan sufrió los efectos de una intensa desprendimiento de ladera. El incidente afectando gravemente la infraestructura local. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.,Desprendimiento de ladera,-31.525369,-68.496197,09/11/2008
"Serio incidente: Polvo volcánico en suspensión en Río Cuarto, Córdoba",La región de Río Cuarto en Córdoba sufrió los efectos de una intensa polvo volcánico en suspensión. El incidente afectando gravemente la infraestructura local. Los servicios médicos están atendiendo a los afectados en hospitales locales.,Polvo volcánico en suspensión,-33.117678,-64.379707,01/05/2011
"Granizo de gran tamaño deja múltiples daños en El Calafate, Santa Cruz",La región de El Calafate en Santa Cruz sufrió los efectos de una intensa granizo de gran tamaño. El incidente provocando cortes de energía y problemas en el suministro de agua. Se ha declarado estado de emergencia en la región para facilitar la asistencia.,Granizo de gran tamaño,-50.370018,-72.245289,22/12/2006
"Declaran emergencia tras Fuego en bosque nativo en Quilmes, Buenos Aires","Severa fuego en bosque nativo impactó en la localidad de Quilmes, Buenos Aires. El incidente generando serios daños ambientales en la región. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Fuego en bosque nativo,-34.7677,-58.267221,11/03/2024
Se reporta Remolino de aire en zona de Aguilares,"Severa remolino de aire impactó en la localidad de Aguilares, Tucumán. El incidente obligando a evacuar a residentes de la zona. Se han habilitado refugios temporales para las familias afectadas.",Remolino de aire,-27.43572,-65.638866,15/06/2016
"Récord histórico de calor sorprende a habitantes de Pico Truncado, Santa Cruz","Una récord histórico de calor de gran magnitud afectó a Pico Truncado, Santa Cruz. El incidente provocando la activación de protocolos de emergencia. Equipos de rescate continúan buscando posibles víctimas.",Récord histórico de calor,-46.825538,-67.92384,05/03/2001
"Equipos de emergencia atienden Avalancha de lodo en Paraná, Entre Ríos",La región de Paraná en Entre Ríos sufrió los efectos de una intensa avalancha de lodo. El incidente causando pérdidas millonarias y afectando a cientos de personas. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.,Avalancha de lodo,-31.745513,-60.568305,15/02/2011
"Evacuaciones por Manga de viento en Barranqueras, Chaco",La región de Barranqueras en Chaco sufrió los efectos de una intensa manga de viento. El incidente afectando el normal desarrollo de actividades en la zona. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.,Manga de viento,-27.460091,-58.919074,24/10/2021
"Ventisca con nieve provoca emergencia en Lules, Tucumán","Una ventisca con nieve de gran magnitud afectó a Lules, Tucumán. El incidente causando pérdidas millonarias y afectando a cientos de personas. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Ventisca con nieve,-26.91772,-65.29149,11/02/2019
Belgrano afectado por Vendaval,La región de Belgrano en CABA sufrió los efectos de una intensa vendaval. El incidente dejando a varios sectores sin comunicación. Autoridades nacionales se han puesto a disposición para brindar asistencia.,Vendaval,-34.538975,-58.440282,29/05/2004
"Preocupación por Temporal en Chajarí, Entre Ríos","Una temporal de gran magnitud afectó a Chajarí, Entre Ríos. El incidente causando daños en cultivos y producción agrícola. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Temporal,-30.720628,-58.029484,24/05/2018
Emergencia por Helada destructiva en Charata,"Severa helada destructiva impactó en la localidad de Charata, Chaco. El incidente generando preocupación entre autoridades provinciales. Se han habilitado refugios temporales para las familias afectadas.",Helada destructiva,-27.165297,-61.178656,05/06/2008
"Calor extremo sorprende a habitantes de Trenque Lauquen, Buenos Aires",La región de Trenque Lauquen en Buenos Aires sufrió los efectos de una intensa calor extremo. El incidente generando caos en el transporte público y privado. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.,Calor extremo,-35.992393,-62.771207,08/01/2021
"Sequía con pérdidas agrícolas genera crisis en San Juan, San Juan",La región de San Juan en San Juan sufrió los efectos de una intensa sequía con pérdidas agrícolas. El incidente dejando un rastro de destrucción importante. La población ha sido alertada para tomar precauciones adicionales.,Sequía con pérdidas agrícolas,-31.551993,-68.579949,11/11/2018
"Concepción del Uruguay en alerta por Sequía prolongada, Entre Ríos","Una sequía prolongada de gran magnitud afectó a Concepción del Uruguay, Entre Ríos. El incidente generando preocupación entre autoridades provinciales. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Sequía prolongada,-32.43816,-58.21983,16/08/2010
"Serio incidente: Fuego arrasador en zona boscosa en San Martín, Mendoza","Una fuego arrasador en zona boscosa de gran magnitud afectó a San Martín, Mendoza. El incidente provocando pánico entre los residentes locales. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Fuego arrasador en zona boscosa,-33.120176,-68.488441,22/08/2008
"Sismo con epicentro local afecta a Jardín América, Misiones","Una sismo con epicentro local de gran magnitud afectó a Jardín América, Misiones. El incidente obligando a evacuar a residentes de la zona. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Sismo con epicentro local,-27.037419,-55.204353,13/10/2012
Preocupación por Manga de viento en Paso de los Libres,"Severa manga de viento impactó en la localidad de Paso de los Libres, Corrientes. El incidente dejando a la población incomunicada por varias horas. Bomberos y personal de seguridad trabajan intensamente en la zona.",Manga de viento,-29.740749,-57.04835,10/05/2023
Rafaela sufre las consecuencias de Nevada histórica,"Una nevada histórica de gran magnitud afectó a Rafaela, Santa Fe. El incidente dejando un rastro de destrucción importante. Bomberos y personal de seguridad trabajan intensamente en la zona.",Nevada histórica,-31.285442,-61.481068,30/12/2024
"Sismo de gran magnitud impacta en Belén, Catamarca",La región de Belén en Catamarca sufrió los efectos de una intensa sismo de gran magnitud. El incidente dejando varios heridos y daños materiales. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.,Sismo de gran magnitud,-27.667456,-67.069537,15/11/2013
Mar del Plata afectado por Tormenta tropical,"Severa tormenta tropical impactó en la localidad de Mar del Plata, Buenos Aires. El incidente causando daños en cultivos y producción agrícola. La población ha sido alertada para tomar precauciones adicionales.",Tormenta tropical,-38.05268,-57.493027,16/10/2009
Desborde de río sorprende a habitantes de Quilmes,"Severa desborde de río impactó en la localidad de Quilmes, Buenos Aires. El incidente bloqueando las principales vías de acceso. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Desborde de río,-34.720076,-58.29418,27/10/2000
"Alerta por Inundación repentina en Casilda, Santa Fe","Severa inundación repentina impactó en la localidad de Casilda, Santa Fe. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Inundación repentina,-33.012927,-61.128007,30/01/2003
Situación crítica por Aluvión de tierra y rocas en Viedma,"Una aluvión de tierra y rocas de gran magnitud afectó a Viedma, Río Negro. El incidente interrumpiendo servicios básicos en toda la zona. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Aluvión de tierra y rocas,-40.770801,-63.017607,21/01/2008
"Emergencia por sequía provoca emergencia en Avellaneda, Buenos Aires","Una emergencia por sequía de gran magnitud afectó a Avellaneda, Buenos Aires. El incidente dejando a la población incomunicada por varias horas. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Emergencia por sequía,-34.612811,-58.336385,27/02/2020
Serio incidente: Quema descontrolada en Eldorado,"Una quema descontrolada de gran magnitud afectó a Eldorado, Misiones. El incidente afectando el normal desarrollo de actividades en la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Quema descontrolada,-26.43509,-54.641311,05/07/2020
Guaymallén afectado por Tornado,La región de Guaymallén en Mendoza sufrió los efectos de una intensa tornado. El incidente afectando gravemente la infraestructura local. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.,Tornado,-32.935174,-68.736331,11/09/2003
"Precipitación de granizo causa estragos en Río Gallegos, Santa Cruz","Una precipitación de granizo de gran magnitud afectó a Río Gallegos, Santa Cruz. El incidente bloqueando las principales vías de acceso. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Precipitación de granizo,-51.601657,-69.168735,25/05/2004
"Autoridades responden a Vendaval en Zapala, Neuquén","Una vendaval de gran magnitud afectó a Zapala, Neuquén. El incidente provocando pánico entre los residentes locales. Se ha establecido un centro de operaciones para coordinar las ayudas.",Vendaval,-38.940588,-70.015855,17/02/2019
"Preocupación por Torbellino en Las Lomitas, Formosa","Severa torbellino impactó en la localidad de Las Lomitas, Formosa. El incidente provocando pánico entre los residentes locales. Se ha establecido un centro de operaciones para coordinar las ayudas.",Torbellino,-24.678385,-60.590114,09/01/2023
"Evacuaciones por Fuego en área protegida en Rawson, Chubut","Severa fuego en área protegida impactó en la localidad de Rawson, Chubut. El incidente generando caos en el transporte público y privado. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Fuego en área protegida,-43.296417,-65.058545,22/10/2002
"Confirman Lluvia torrencial de gran magnitud en El Calafate, Santa Cruz","Severa lluvia torrencial impactó en la localidad de El Calafate, Santa Cruz. El incidente afectando gravemente la infraestructura local. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Lluvia torrencial,-50.373252,-72.242051,12/07/2016
"Frío extremo provoca emergencia en San Martín de los Andes, Neuquén",La región de San Martín de los Andes en Neuquén sufrió los efectos de una intensa frío extremo. El incidente interrumpiendo servicios básicos en toda la zona. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.,Frío extremo,-40.19885,-71.345937,31/08/2018
Rivadavia en alerta por Sequía con pérdidas agrícolas,"Severa sequía con pérdidas agrícolas impactó en la localidad de Rivadavia, San Juan. El incidente dejando un rastro de destrucción importante. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Sequía con pérdidas agrícolas,-31.58465,-68.630511,22/09/2013
Confirman Fenómeno meteorológico con granizo de gran magnitud en Casilda,La región de Casilda en Santa Fe sufrió los efectos de una intensa fenómeno meteorológico con granizo. El incidente generando preocupación entre autoridades provinciales. Técnicos trabajan para restablecer los servicios básicos lo antes posible.,Fenómeno meteorológico con granizo,-33.019323,-61.139626,15/05/2001
Pehuajó sufre las consecuencias de Precipitación de granizo,"Severa precipitación de granizo impactó en la localidad de Pehuajó, Buenos Aires. El incidente dejando a varios sectores sin comunicación. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.",Precipitación de granizo,-35.823185,-61.91358,26/05/2005
Consecuencias graves tras Desprendimiento de ladera en Alta Gracia,La región de Alta Gracia en Córdoba sufrió los efectos de una intensa desprendimiento de ladera. El incidente interrumpiendo servicios básicos en toda la zona. La población ha sido alertada para tomar precauciones adicionales.,Desprendimiento de ladera,-31.642588,-64.421951,14/06/2008
"Arroyito sufre las consecuencias de Temporal, Córdoba","Una temporal de gran magnitud afectó a Arroyito, Córdoba. El incidente obligando a evacuar a residentes de la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Temporal,-31.386232,-63.096286,13/07/2010
Ráfagas destructivas genera crisis en Casilda,"Una ráfagas destructivas de gran magnitud afectó a Casilda, Santa Fe. El incidente dejando varios heridos y daños materiales. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Ráfagas destructivas,-32.997198,-61.192247,26/03/2001
Declaran emergencia tras Lluvia torrencial en Quilmes,"Una lluvia torrencial de gran magnitud afectó a Quilmes, Buenos Aires. El incidente resultando en el cierre temporal de escuelas y comercios. La población ha sido alertada para tomar precauciones adicionales.",Lluvia torrencial,-34.742395,-58.277932,09/09/2012
"Alerta por Manga de viento en Paso de los Libres, Corrientes",La región de Paso de los Libres en Corrientes sufrió los efectos de una intensa manga de viento. El incidente afectando gravemente la infraestructura local. Bomberos y personal de seguridad trabajan intensamente en la zona.,Manga de viento,-29.689924,-57.072406,06/03/2015
"Devastador Déficit hídrico afecta a Las Breñas, Chaco",La región de Las Breñas en Chaco sufrió los efectos de una intensa déficit hídrico. El incidente afectando gravemente la infraestructura local. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.,Déficit hídrico,-27.048309,-61.099163,22/08/2004
"Tormenta con piedras de granizo afecta a Santa María, Catamarca","Una tormenta con piedras de granizo de gran magnitud afectó a Santa María, Catamarca. El incidente causando daños en cultivos y producción agrícola. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Tormenta con piedras de granizo,-26.734161,-66.003977,27/01/2002
Sequía extrema genera crisis en Córdoba,La región de Córdoba en Córdoba sufrió los efectos de una intensa sequía extrema. El incidente obligando a evacuar a residentes de la zona. Se ha establecido un centro de operaciones para coordinar las ayudas.,Sequía extrema,-31.423588,-64.15443,21/03/2022
Copiosa caída de nieve causa estragos en Rafaela,La región de Rafaela en Santa Fe sufrió los efectos de una intensa copiosa caída de nieve. El incidente dejando varios heridos y daños materiales. Defensa Civil coordina las tareas de asistencia y reconstrucción.,Copiosa caída de nieve,-31.283401,-61.484393,19/09/2001
Alerta por Fenómeno de viento rotativo en Cipolletti,"Severa fenómeno de viento rotativo impactó en la localidad de Cipolletti, Río Negro. El incidente provocando cortes de energía y problemas en el suministro de agua. El municipio ha activado el protocolo de emergencias para esta situación.",Fenómeno de viento rotativo,-38.920901,-67.980011,10/07/2022
Consecuencias graves tras Incendio forestal en Sarmiento,"Una incendio forestal de gran magnitud afectó a Sarmiento, Chubut. El incidente resultando en el cierre temporal de escuelas y comercios. Bomberos y personal de seguridad trabajan intensamente en la zona.",Incendio forestal,-45.624844,-69.095293,12/10/2016
Impacto de Polvo volcánico en suspensión en comunidad de San Pedro de Jujuy,"Severa polvo volcánico en suspensión impactó en la localidad de San Pedro de Jujuy, Jujuy. El incidente afectando gravemente la infraestructura local. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Polvo volcánico en suspensión,-24.183837,-64.863188,11/10/2009
"Réplica sísmica provoca emergencia en Puerto Deseado, Santa Cruz","Severa réplica sísmica impactó en la localidad de Puerto Deseado, Santa Cruz. El incidente destruyendo viviendas y dejando a familias evacuadas. Defensa Civil coordina las tareas de asistencia y reconstrucción.",Réplica sísmica,-47.759823,-65.906308,24/10/2012
"Fenómeno de frío intenso impacta en Zapala, Neuquén","Severa fenómeno de frío intenso impactó en la localidad de Zapala, Neuquén. El incidente generando caos en el transporte público y privado. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Fenómeno de frío intenso,-38.887837,-70.106061,02/05/2018
"Movimiento telúrico deja múltiples daños en Villa Mercedes, San Luis","Una movimiento telúrico de gran magnitud afectó a Villa Mercedes, San Luis. El incidente interrumpiendo servicios básicos en toda la zona. La población ha sido alertada para tomar precauciones adicionales.",Movimiento telúrico,-33.675432,-65.442905,16/07/2009
Fenómeno de viento rotativo impacta en Cafayate,"Una fenómeno de viento rotativo de gran magnitud afectó a Cafayate, Salta. El incidente dejando varios heridos y daños materiales. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Fenómeno de viento rotativo,-26.112183,-66.020092,05/11/2006
"Desborde de arroyo afecta a Sarmiento, Chubut",La región de Sarmiento en Chubut sufrió los efectos de una intensa desborde de arroyo. El incidente resultando en el cierre temporal de escuelas y comercios. Se han habilitado refugios temporales para las familias afectadas.,Desborde de arroyo,-45.622219,-69.065848,13/06/2007
"Evacuaciones por Tormenta de viento en Andalgalá, Catamarca",La región de Andalgalá en Catamarca sufrió los efectos de una intensa tormenta de viento. El incidente provocando pánico entre los residentes locales. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.,Tormenta de viento,-27.567117,-66.301886,19/04/2002
"Preocupación por Temperaturas récord en San Telmo, CABA","Severa temperaturas récord impactó en la localidad de San Telmo, CABA. El incidente resultando en el cierre temporal de escuelas y comercios. La población ha sido alertada para tomar precauciones adicionales.",Temperaturas récord,-34.638898,-58.368627,10/07/2023
"Se reporta Quema de pastizales en zona de Casilda, Santa Fe","Una quema de pastizales de gran magnitud afectó a Casilda, Santa Fe. El incidente generando preocupación entre autoridades provinciales. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Quema de pastizales,-33.080388,-61.123257,25/08/2020
Emergencia por Fenómeno de frío intenso en Fernández,La región de Fernández en Santiago del Estero sufrió los efectos de una intensa fenómeno de frío intenso. El incidente dejando varios heridos y daños materiales. Autoridades nacionales se han puesto a disposición para brindar asistencia.,Fenómeno de frío intenso,-27.937361,-63.9091,08/01/2016
Emergencia por Vendaval en La Quiaca,"Una vendaval de gran magnitud afectó a La Quiaca, Jujuy. El incidente interrumpiendo servicios básicos en toda la zona. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Vendaval,-22.075619,-65.5665,16/01/2002
Emergencia por Temblor en El Calafate,"Severa temblor impactó en la localidad de El Calafate, Santa Cruz. El incidente bloqueando las principales vías de acceso. Se han habilitado refugios temporales para las familias afectadas.",Temblor,-50.304507,-72.249032,21/10/2014
Situación crítica por Nevazón en Lobos,"Una nevazón de gran magnitud afectó a Lobos, Buenos Aires. El incidente generando preocupación entre autoridades provinciales. Se han habilitado refugios temporales para las familias afectadas.",Nevazón,-35.198761,-59.109827,19/11/2008
Tormenta con fuertes vientos impacta en Avellaneda,"Severa tormenta con fuertes vientos impactó en la localidad de Avellaneda, Buenos Aires. El incidente causando pérdidas millonarias y afectando a cientos de personas. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Tormenta con fuertes vientos,-34.660939,-58.355948,28/07/2023
"Derrumbe de cerro provoca emergencia en Allen, Río Negro","Una derrumbe de cerro de gran magnitud afectó a Allen, Río Negro. El incidente destruyendo viviendas y dejando a familias evacuadas. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Derrumbe de cerro,-39.009033,-67.837917,24/10/2013
Serio incidente: Manga de viento en San Lorenzo,"Una manga de viento de gran magnitud afectó a San Lorenzo, Santa Fe. El incidente bloqueando las principales vías de acceso. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Manga de viento,-32.721385,-60.731631,02/06/2001
"Declaran emergencia tras Helada fuera de temporada en Las Heras, Santa Cruz",La región de Las Heras en Santa Cruz sufrió los efectos de una intensa helada fuera de temporada. El incidente provocando cortes de energía y problemas en el suministro de agua. El gobierno provincial ha enviado ayuda humanitaria a los damnificados.,Helada fuera de temporada,-46.578717,-68.895322,26/05/2022
Impacto de Nevada extrema en comunidad de Villa Regina,"Severa nevada extrema impactó en la localidad de Villa Regina, Río Negro. El incidente con un saldo inicial de varias personas heridas. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Nevada extrema,-39.143775,-67.108439,29/08/2004
Tormenta de viento deja múltiples daños en Embarcación,"Severa tormenta de viento impactó en la localidad de Embarcación, Salta. El incidente dejando un rastro de destrucción importante. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Tormenta de viento,-23.18602,-64.103518,23/11/2016
"Emergencia por Desprendimiento de ladera en Pergamino, Buenos Aires",La región de Pergamino en Buenos Aires sufrió los efectos de una intensa desprendimiento de ladera. El incidente afectando el normal desarrollo de actividades en la zona. Se han habilitado refugios temporales para las familias afectadas.,Desprendimiento de ladera,-33.936925,-60.607484,22/05/2003
Consecuencias graves tras Tornado en Río Cuarto,"Una tornado de gran magnitud afectó a Río Cuarto, Córdoba. El incidente generando preocupación entre autoridades provinciales. Especialistas evalúan los daños para iniciar las reparaciones necesarias.",Tornado,-33.116159,-64.330374,06/10/2003
"Evacuaciones por Crisis hídrica en San Miguel de Tucumán, Tucumán","Severa crisis hídrica impactó en la localidad de San Miguel de Tucumán, Tucumán. El incidente generando caos en el transporte público y privado. Equipos de rescate continúan buscando posibles víctimas.",Crisis hídrica,-26.818479,-65.170225,31/08/2014
"Serio incidente: Fuego en bosque nativo en Quilmes, Buenos Aires",La región de Quilmes en Buenos Aires sufrió los efectos de una intensa fuego en bosque nativo. El incidente dejando a la población incomunicada por varias horas. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.,Fuego en bosque nativo,-34.674805,-58.250951,23/08/2023
"Alerta por Torbellino en Perico, Jujuy","Una torbellino de gran magnitud afectó a Perico, Jujuy. El incidente bloqueando las principales vías de acceso. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Torbellino,-24.33406,-65.146711,05/09/2014
"Consecuencias graves tras Tormenta de viento en Villaguay, Entre Ríos","Una tormenta de viento de gran magnitud afectó a Villaguay, Entre Ríos. El incidente causando pérdidas millonarias y afectando a cientos de personas. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Tormenta de viento,-31.884118,-58.988908,04/07/2023
"Consecuencias graves tras Fuego en bosque nativo en Jardín América, Misiones","Una fuego en bosque nativo de gran magnitud afectó a Jardín América, Misiones. El incidente causando daños en cultivos y producción agrícola. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Fuego en bosque nativo,-27.083018,-55.253659,10/07/2020
"Alerta por Crecida histórica en Ushuaia, Tierra del Fuego","Severa crecida histórica impactó en la localidad de Ushuaia, Tierra del Fuego. El incidente generando preocupación entre autoridades provinciales. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Crecida histórica,-54.841034,-68.310254,31/03/2024
Situación crítica por Nevazón en Puerto San Julián,"Una nevazón de gran magnitud afectó a Puerto San Julián, Santa Cruz. El incidente con un saldo inicial de varias personas heridas. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Nevazón,-49.288488,-67.74237,31/12/2006
"Consecuencias graves tras Copiosa caída de nieve en Quitilipi, Chaco",La región de Quitilipi en Chaco sufrió los efectos de una intensa copiosa caída de nieve. El incidente generando caos en el transporte público y privado. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.,Copiosa caída de nieve,-26.867831,-60.172358,08/06/2003
"Se reporta Tormenta tropical en zona de Chepes, La Rioja","Una tormenta tropical de gran magnitud afectó a Chepes, La Rioja. El incidente afectando gravemente la infraestructura local. Equipos de rescate continúan buscando posibles víctimas.",Tormenta tropical,-31.339513,-66.639349,27/10/2017
"Se reporta Tormenta de nieve en zona de Malargüe, Mendoza","Severa tormenta de nieve impactó en la localidad de Malargüe, Mendoza. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Tormenta de nieve,-35.446512,-69.582575,05/08/2008
"Vendaval impacta en Villa Krause, San Juan","Una vendaval de gran magnitud afectó a Villa Krause, San Juan. El incidente dejando a varios sectores sin comunicación. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Vendaval,-31.532738,-68.55175,10/02/2012
Emergencia por altas temperaturas impacta en Comodoro Rivadavia,La región de Comodoro Rivadavia en Chubut sufrió los efectos de una intensa emergencia por altas temperaturas. El incidente resultando en el cierre temporal de escuelas y comercios. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.,Emergencia por altas temperaturas,-45.902507,-67.45342,14/12/2014
